--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.000  000.000: --- NVIM STARTING ---
000.148  000.147: event init
000.223  000.075: early init
000.264  000.041: locale set
000.304  000.040: init first window
000.724  000.420: inits 1
000.732  000.008: window checked
000.735  000.003: parsing arguments
001.266  000.048  000.048: require('vim.shared')
001.398  000.056  000.056: require('vim.inspect')
001.472  000.061  000.061: require('vim._options')
001.475  000.205  000.089: require('vim._editor')
001.476  000.284  000.030: require('vim._init_packages')
001.478  000.459: init lua interpreter
001.529  000.051: expanding arguments
001.550  000.021: inits 2
001.812  000.262: init highlight
001.829  000.017: clear screen
001.971  000.020  000.020: require('vim.keymap')
002.826  000.140  000.140: sourcing nvim_exec2()
002.952  001.120  000.960: require('vim._defaults')
002.954  000.004: init default mappings & autocommands
003.588  000.048  000.048: sourcing /usr/share/nvim/runtime/ftplugin.vim
003.649  000.027  000.027: sourcing /usr/share/nvim/runtime/indent.vim
003.809  000.112  000.112: sourcing /usr/share/nvim/archlinux.lua
003.813  000.140  000.028: sourcing /etc/xdg/nvim/sysinit.vim
004.810  000.670  000.670: require('lazy')
004.842  000.014  000.014: require('ffi')
004.944  000.077  000.077: require('vim.fs')
005.057  000.110  000.110: require('vim.uri')
005.071  000.227  000.040: require('vim.loader')
005.202  000.113  000.113: require('lazy.stats')
005.315  000.093  000.093: require('lazy.core.util')
005.428  000.110  000.110: require('lazy.core.config')
005.648  000.101  000.101: require('lazy.core.handler')
006.055  000.156  000.156: require('lazy.pkg')
006.066  000.313  000.157: require('lazy.core.meta')
006.073  000.422  000.110: require('lazy.core.plugin')
006.082  000.652  000.128: require('lazy.core.loader')
006.962  000.182  000.182: require('lazy.async')
007.140  000.116  000.116: require('lazy.manage.process')
007.280  000.138  000.138: require('lazy.terminal')
007.286  000.321  000.067: require('lazy.manage.task')
007.289  000.696  000.193: require('lazy.manage.runner')
007.292  000.789  000.093: require('lazy.manage')
007.295  000.903  000.114: require('lazy.view.commands')
007.509  000.190  000.190: require('lazy.core.fragments')
010.953  000.098  000.098: require('lazy.core.handler.event')
